lemma,sedes,x,z
ἄγραυλος,7,5,-1.02076571328104
ἄγραυλος,8,1,-1.89243081675699
ἄγραυλος,9,8,-0.367016885674083
ἄγριος,1,31,+0.526161172640988
ἄγριος,3,5,-3.02763132860457
ἄγριος,4,1,-3.5743686364885
ἄγριος,7,31,+0.526161172640988
ἄγριος,8,1,-3.5743686364885
ἄγριος,9,24,-0.430629116155893
ἄγροικος,1,1,
ἄγρυπνος,3,9,+1.15311332039411
ἄγρυπνος,4,6,-0.104828483672192
ἄγρυπνος,7,4,-0.943456353049727
ἄγρυπνος,8,4,-0.943456353049727
ἄγρυπνος,9,1,-2.20139815711603
ἄγρωστις,3,1,
ἄγρωστις,10,1,
ἄγυρις,6,3,+0.577350269189626
ἄγυρις,8,1,-1.73205080756888
ἄγχαυρος,1,1,
ἄγχι,1,28,-0.158002368515282
ἄγχι,3,13,-1.18439570729566
ἄγχι,5,11,-1.32124815246637
ἄγχι,9,46,+1.07366963802117
ἄγχι,11,12,-1.25282192988102
ἄγχιστος,4,5,-0.124034734589209
ἄγχιστος,7,1,-3.10086836473021
ἄγχιστος,8,6,+0.620173672946042
ἄγχνοον,1,1,
ἄγχω,1,3,-1.36043637561677
ἄγχω,3,12,+0.640974830819441
ἄγχω,8,1,-1.80519442149149
ἄγχω,11,1,-1.80519442149149
ἄγω,1,78,+0.165719447213591
ἄγω,2,79,+0.197984706302894
ἄγω,2.5,58,-0.479585734572469
ἄγω,3,9,-2.06058342994831
ἄγω,4,23,-1.60886980269807
ἄγω,4.5,64,-0.285994180036651
ἄγω,5,16,-1.83472661632319
ἄγω,6,12,-1.96378765268041
ἄγω,6.5,119,+1.48859506987501
ἄγω,7,28,-1.44754350725156
ἄγω,8,7,-2.12511394812692
ἄγω,9,66,-0.221463661858045
ἄγω,10,4,-2.22190972539483
ἄγω,10.5,89,+0.520637297195923
ἄγω,11,9,-2.06058342994831
ἄδειπνος,4.5,1,
ἄδηκτος,2.5,1,
ἄδηλος,4.5,1,
ἄδηλος,8.5,1,
ἄδικος,2,2,-1.13389341902768
